n.evals.q.1.0.	train.8.8.8.mlp.best.quality.increase	train.8.8.8.mlp.best.quality.increase.min	train.8.8.8.mlp.best.quality.increase.max	train.8.8.8.hebbian.synapse.random.best.quality.increase	train.8.8.8.hebbian.synapse.random.best.quality.increase.min	train.8.8.8.hebbian.synapse.random.best.quality.increase.max	train.8.8.8.hebbian.network.random.best.quality.increase	train.8.8.8.hebbian.network.random.best.quality.increase.min	train.8.8.8.hebbian.network.random.best.quality.increase.max	train.8.8.8.freeForm.random.best.quality.increase	train.8.8.8.freeForm.random.best.quality.increase.min	train.8.8.8.freeForm.random.best.quality.increase.max
1.000e+02	6.284e-02	-5.702e+00	9.898e+00	-9.449e-02	-6.380e-01	1.879e+00	-5.437e-01	-6.928e-01	-6.365e-02	1.846e-01	-3.247e-01	7.312e-01
3.000e+02	2.309e+00	-4.952e+01	3.988e+00	1.339e+00	-2.354e+00	1.782e+00	-3.910e-01	-1.330e+00	2.139e-01	8.219e-04	-1.192e+00	6.207e-01
5.000e+02	2.839e-02	-5.344e+00	1.188e+01	-7.092e-01	-2.615e+00	2.188e-01	-2.054e+00	-9.673e+00	7.371e-02	-2.891e-01	-3.453e+00	3.068e+00
7.000e+02	-7.314e-04	-3.694e+00	2.620e+00	1.051e+00	-1.255e-02	1.108e+01	-8.424e-01	-5.629e+00	2.496e-01	-6.133e-01	-1.215e+00	-4.231e-01
9.000e+02	6.815e-01	-4.332e+00	4.146e+00	9.727e-02	-1.413e+00	1.243e+00	3.062e-01	-1.874e+00	1.888e+01	-2.825e-01	-1.303e+00	-4.550e-02
1.100e+03	-9.985e-01	-3.034e+01	8.909e+00	-3.731e-03	-2.617e+00	7.743e-01	3.010e-02	-1.860e+00	9.294e-01	-5.889e-01	-2.530e+00	7.442e-01
1.300e+03	6.397e+00	4.926e-01	9.214e+00	-2.484e-01	-1.489e+00	-1.198e-04	-1.508e+00	-2.046e+01	-5.580e-01	-2.104e-02	-1.200e+00	2.301e-05
1.500e+03	-1.781e+01	-7.173e+01	-1.506e+00	1.570e-01	-1.771e+00	2.752e+00	-1.319e+00	-2.806e+01	-8.485e-01	1.560e+00	8.148e-01	3.089e+00
1.700e+03	-1.033e+01	-6.158e+01	-1.228e+00	1.539e+00	1.625e-01	5.559e+00	-1.893e-02	-1.280e+01	1.919e+01	5.752e-04	-5.781e-01	6.444e-03
1.900e+03	3.392e+00	-1.829e+01	4.027e+01	1.446e-01	-1.992e+00	3.899e-01	9.697e+00	1.238e-01	2.480e+01	-2.666e-01	-1.470e+00	2.553e-03
2.100e+03	1.450e+01	-1.351e+01	2.820e+01	-2.359e-01	-2.756e+00	3.031e-03	6.918e+00	2.433e-03	9.395e+00	6.460e-01	-1.313e+00	3.636e+00
2.300e+03	1.986e+01	4.117e+00	7.581e+01	9.331e-02	-1.323e+00	2.502e+00	6.437e-01	-1.879e+00	4.703e+00	2.074e-03	-1.499e+00	1.155e+00
2.500e+03	1.745e+00	-1.039e+01	1.752e+01	1.735e+00	2.855e-02	3.557e+00	8.058e-02	-1.442e+00	4.404e+00	3.542e-02	-4.967e-01	6.537e+00
2.700e+03	2.082e-01	-6.201e+01	1.488e+01	-2.237e-02	-8.633e+00	2.072e-02	7.444e-02	-2.680e+00	8.608e+00	2.928e-03	-7.959e+00	9.182e-01
2.900e+03	-7.205e-01	-9.567e+01	1.897e+01	5.559e-01	-1.553e+00	2.278e+00	1.178e+00	-1.341e+01	3.728e+00	3.226e-02	-4.996e-01	1.824e+00
3.100e+03	4.301e-02	-8.671e+00	5.152e+01	-1.250e+00	-1.600e+01	-2.902e-01	1.598e-01	-9.096e-01	1.046e+01	9.954e-01	-5.149e-01	4.823e+00
3.300e+03	1.901e+00	-2.200e+01	7.525e+00	9.334e-01	-1.242e+00	1.833e+00	5.687e-01	-8.578e+00	1.086e+01	-3.058e-04	-1.231e-01	7.649e-01
3.500e+03	-5.356e+00	-2.726e+01	1.144e+01	-6.113e-02	-1.552e+00	1.186e+00	-1.070e-02	-4.612e+00	1.390e+01	-1.003e+00	-1.494e+00	2.482e-03
3.700e+03	8.655e+01	2.806e+01	9.681e+01	-1.429e-01	-1.170e+02	2.603e+00	4.501e-01	-3.035e+01	7.517e+00	9.713e-04	-1.495e+00	7.777e-03
3.900e+03	4.996e-01	-7.409e+01	8.006e+01	4.627e-03	-2.501e+00	1.410e+00	8.395e+00	1.853e-01	1.791e+01	6.510e-03	-1.963e-03	9.201e-01
4.100e+03	4.174e+01	-2.899e+01	5.621e+01	-1.572e-02	-1.276e+00	2.596e+00	1.237e+00	-4.000e+00	1.021e+01	1.392e-03	-9.953e-01	2.322e-01
4.300e+03	2.179e+01	-4.111e+00	2.356e+01	1.128e+00	-1.896e-01	2.444e+00	5.450e+00	-1.472e-01	6.547e+00	-3.197e-03	-1.491e+00	1.170e+00
4.500e+03	-5.096e+00	-4.721e+01	1.700e+01	7.389e-01	-1.301e+00	1.160e+00	1.317e+00	-3.860e-01	3.707e+00	4.741e-03	-1.994e+00	3.367e+00
4.700e+03	-9.035e+00	-9.254e+01	2.132e+01	1.585e-04	-7.803e-01	6.748e+00	6.293e-01	-6.437e+00	2.259e+00	3.421e-01	-7.968e-01	3.290e+00
4.900e+03	1.785e+01	-4.246e+01	4.379e+01	5.783e-01	-1.150e+01	2.933e+00	6.068e-01	-1.070e+00	6.534e+00	-3.815e-04	-2.005e+00	1.748e+00
5.100e+03	7.461e-01	-2.634e+01	2.019e+01	5.777e-02	-3.977e+00	2.992e+00	2.338e+00	-9.137e+00	1.915e+01	-1.020e-03	-1.313e+00	3.346e+00
5.300e+03	1.146e+01	-7.004e+01	3.040e+01	2.779e-01	-2.191e+00	6.761e+00	1.499e+00	-2.492e+00	1.982e+01	1.416e-03	-1.478e+00	2.500e+00
5.500e+03	-2.882e+00	-8.122e+01	4.215e+01	9.240e-01	-5.296e-01	6.407e+00	1.213e+01	9.660e-01	6.135e+01	-2.526e-01	-1.308e+01	-2.076e-03
5.700e+03	2.773e+01	-4.685e+00	7.165e+01	7.394e-01	-1.007e+00	2.743e+00	4.771e+00	-1.092e+01	9.406e+00	-4.454e-01	-2.622e+00	7.829e-04
5.900e+03	-4.187e+00	-6.150e+01	7.255e+00	-1.019e-02	-3.003e+00	2.760e+00	3.672e+00	5.875e-01	1.309e+01	2.808e-02	-1.286e+00	4.797e+00
6.100e+03	5.007e+00	-5.687e+00	5.259e+01	-5.016e+00	-1.150e+02	1.306e-02	1.037e+00	-4.860e-01	6.667e+00	3.728e-03	-1.093e+00	7.251e+00
6.300e+03	8.626e+00	-5.642e+01	4.102e+01	-4.199e-03	-1.267e+00	1.023e+00	8.165e-01	-1.015e+01	1.254e+01	-1.317e+00	-6.315e+00	5.506e-05
6.500e+03	2.889e+00	-4.594e+01	4.535e+01	4.357e+01	2.161e+00	5.301e+01	1.097e+01	-5.455e-01	1.972e+01	2.800e-01	-6.508e-04	1.067e+01
6.700e+03	-3.950e+01	-5.599e+01	-7.686e-01	6.669e-01	-8.526e+01	4.867e+00	2.487e-01	-6.634e-01	8.922e+00	9.596e-04	-4.959e-01	5.035e-01
6.900e+03	-3.116e+00	-3.752e+01	1.292e+01	8.677e-03	-6.911e+01	8.189e-01	8.325e-01	-5.382e-01	1.301e+01	1.763e-03	-1.451e+00	3.205e+00
7.100e+03	2.302e+01	-3.162e+00	1.032e+02	-1.730e-02	-1.952e+01	1.419e+00	6.082e-01	-7.697e+00	4.300e+00	-7.710e-04	-1.273e+00	6.722e-01
7.300e+03	3.088e+00	-2.325e+00	7.725e+01	6.820e-03	-9.159e-01	1.411e+00	1.167e+01	-1.507e+00	1.933e+01	5.369e-01	-2.044e+00	2.754e+00
7.500e+03	-2.204e-01	-8.620e+01	3.447e+00	1.733e-02	-1.465e+00	2.893e+00	2.364e+00	-3.739e-01	2.075e+01	4.138e-03	-2.806e-01	1.136e+00
7.700e+03	3.327e+00	-1.329e+01	5.879e+01	-1.832e+00	-6.149e+00	1.183e+00	3.196e+00	-7.254e+00	1.278e+01	3.072e-03	-1.386e+00	3.752e+00
7.900e+03	2.578e+01	1.615e+00	5.075e+01	1.824e+00	-2.874e+00	1.369e+01	1.684e+00	-1.447e+01	1.169e+01	2.750e+00	-1.287e+00	4.679e+00
8.100e+03	3.224e+00	-3.657e+01	1.448e+01	1.448e+00	-4.937e+01	3.951e+01	-3.744e+00	-9.399e+00	9.219e-01	-7.910e-04	-1.230e+00	4.439e-03
8.300e+03	3.082e+00	-4.983e+00	1.247e+01	-3.243e+00	-1.950e+01	5.583e-01	1.943e-01	-1.066e+01	6.771e+00	1.381e-02	-1.154e-03	3.067e+00
8.500e+03	1.005e+00	-1.547e+01	6.774e+01	9.653e-03	-2.749e+00	1.650e+01	-1.926e-01	-6.432e-01	1.933e-01	-3.685e-02	-1.497e+00	1.192e-03
8.700e+03	3.249e+01	4.740e-01	8.894e+01	1.046e+01	-2.007e-02	1.773e+01	1.276e+01	-9.538e+00	3.665e+01	-1.496e+00	-6.219e+00	-1.386e+00
8.900e+03	-1.066e+01	-4.806e+01	5.387e+01	-1.437e+00	-3.977e+01	-8.898e-01	9.310e-01	-4.118e+00	2.423e+00	5.718e-03	-1.491e+00	2.623e-01
9.100e+03	-7.486e+00	-2.702e+01	2.864e-01	2.622e+00	-1.491e+00	1.048e+02	-1.517e-02	-1.237e+00	3.344e-01	-1.678e-04	-1.493e+00	1.404e+00
9.300e+03	-3.710e+00	-3.662e+01	3.872e+01	1.276e+00	-1.259e-01	3.838e+00	1.420e+00	-1.064e+00	1.153e+01	1.489e-03	-1.397e+00	5.842e-01
9.500e+03	-2.741e+00	-8.592e+01	1.018e+01	-2.330e+00	-1.995e+01	3.310e-04	2.122e+01	-5.359e+00	2.369e+01	-6.028e-04	-1.855e+00	2.498e+00
9.700e+03	2.725e+01	-4.397e+01	5.325e+01	-1.493e+00	-9.922e+01	-5.438e-01	5.903e+00	-3.626e-01	1.531e+01	1.700e+00	-7.867e-01	5.963e+00
9.900e+03	-9.797e-01	-7.593e+01	2.700e+01	-3.971e-03	-1.499e+01	1.387e+00	9.043e-01	-1.158e+00	1.762e+01	1.352e-03	-1.007e+00	4.932e+00
1.010e+04	7.675e+01	-4.752e+00	9.744e+01	-4.096e-01	-6.766e+00	6.738e+00	1.017e+01	4.504e+00	1.328e+01	1.452e-04	-4.098e+00	2.282e+01
1.030e+04	-6.304e+00	-7.017e+01	3.540e+01	4.835e-01	-2.146e+00	7.635e-01	3.895e-02	-5.539e-01	4.514e+00	4.850e-01	-1.194e+00	8.246e+00
1.050e+04	2.897e+00	-1.333e+01	7.099e+01	-1.042e+00	-1.015e+02	5.306e-01	5.173e+00	-1.104e+01	1.240e+01	2.111e-03	-1.359e+00	6.833e-01
1.070e+04	1.076e+01	-1.056e+01	9.773e+01	-1.181e+00	-3.926e+01	2.882e+01	2.507e+00	-6.881e-01	9.479e+00	-6.624e-03	-2.696e+00	4.058e-03
1.090e+04	-1.590e+00	-4.909e+01	4.967e+00	6.849e+00	1.093e-02	4.896e+01	4.672e-01	-3.150e+00	8.761e-01	-6.557e-03	-1.340e+00	1.023e+00
1.110e+04	5.188e+00	-2.216e+01	1.144e+02	6.201e+00	-6.960e+00	9.752e+00	1.347e+00	-2.710e+00	6.726e+00	4.586e-01	-2.664e-01	4.001e+00
1.130e+04	-8.552e-01	-2.567e+01	2.221e+00	2.744e+00	2.657e-03	9.528e+00	3.185e+00	-7.149e+00	1.273e+01	-6.527e-01	-2.406e+00	5.768e-03
1.150e+04	1.089e+01	-3.338e+01	9.698e+01	2.716e+01	-1.810e-01	3.849e+01	1.988e+00	-1.331e+00	1.145e+01	6.058e-01	-1.499e+00	4.743e+00
1.170e+04	1.114e+01	-5.756e+00	7.173e+01	3.991e+00	-7.905e+00	8.991e+00	2.723e+00	-1.422e+00	1.584e+01	-2.304e-01	-4.344e-01	1.187e-03
1.190e+04	2.949e+00	-6.600e+01	3.025e+01	3.001e+00	-7.905e+01	8.030e+01	5.950e+00	1.456e+00	1.401e+01	2.035e-04	-3.891e-01	4.351e-01
1.210e+04	2.419e-01	-1.157e+00	1.099e+01	3.503e-02	-8.236e+00	4.307e+00	-1.566e+00	-1.365e+01	-2.385e-01	5.547e-01	-1.512e+00	1.428e+00
1.230e+04	1.516e+00	-2.075e+01	1.644e+01	3.009e+00	-1.026e+01	9.502e+00	1.885e+00	-1.004e+00	1.614e+01	9.979e-01	-1.953e-03	3.452e+00
1.250e+04	2.594e+00	-8.202e+01	4.228e+01	2.399e+00	-1.010e+02	1.850e+01	-3.632e-03	-1.284e+01	1.233e+01	-7.109e-02	-1.263e+00	1.018e-02
1.270e+04	-1.422e+01	-7.316e+01	1.720e+01	3.248e+00	-1.706e+00	1.458e+01	-7.045e-01	-3.259e+00	4.890e+00	-2.271e-01	-1.211e+01	-4.639e-03
1.290e+04	2.244e+01	-2.377e+01	7.205e+01	4.758e+00	-8.700e+01	1.941e+01	3.249e+00	-1.857e-01	1.379e+01	-4.880e-01	-1.097e+01	-1.750e-03
1.310e+04	2.501e+01	-5.622e+01	6.062e+01	1.143e-01	-3.717e+01	9.676e+01	2.751e+00	-3.107e-03	1.511e+01	-1.499e+00	-2.431e+01	-1.080e-04
1.330e+04	-7.449e-01	-2.823e+01	7.330e+00	1.130e+00	-2.893e+01	1.045e+02	-3.616e+00	-2.173e+01	-6.650e-02	4.609e-01	-1.213e+00	2.590e+00
1.350e+04	7.550e+00	-8.489e+00	1.882e+01	1.498e+00	-7.560e+00	5.849e+00	3.084e+00	2.243e-01	2.975e+01	2.372e-03	-6.087e-01	6.063e-01
1.370e+04	8.629e-01	-1.154e+01	4.442e+00	2.300e+01	-1.233e+02	3.727e+01	1.298e-01	-1.474e+01	2.141e+00	3.139e-03	-2.677e+00	3.104e+00
1.390e+04	-7.041e+00	-4.519e+01	1.401e+01	6.845e+00	-1.051e+01	1.184e+02	-4.767e-01	-1.091e+01	3.925e+00	-7.305e-01	-1.465e+01	5.287e-01
1.410e+04	1.363e+00	-3.552e+01	6.606e+01	-2.705e+00	-4.252e+01	2.241e-03	1.418e+01	2.134e+00	1.913e+01	-3.238e-01	-4.683e+00	1.065e+00
1.430e+04	-4.250e+01	-7.487e+01	7.448e+00	1.422e+00	-5.205e+01	8.540e+00	5.772e-01	-1.192e+01	1.441e+01	1.188e+00	-5.990e-01	4.922e+00
1.450e+04	3.294e+01	-7.850e+01	8.625e+01	1.687e+00	-7.329e+00	3.975e+01	2.587e+00	-1.788e-01	1.921e+01	4.453e-03	-2.429e+00	5.030e-01
