n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
1.000e+02	-3.720e+00	-3.721e+00	-3.720e+00	-1.890e+00	-2.131e+00	-1.662e+00	-3.673e+00	-3.720e+00	-3.635e+00
2.000e+02	-3.720e+00	-3.720e+00	-3.684e+00	6.079e-01	-1.650e+00	8.345e+00	-3.596e+00	-3.720e+00	-3.469e+00
3.000e+02	-3.716e+00	-3.720e+00	-3.519e+00	8.345e+00	-8.805e-01	3.817e+01	-3.532e+00	-3.720e+00	-3.038e+00
4.000e+02	-3.684e+00	-3.720e+00	-3.519e+00	7.749e+01	2.345e+01	1.228e+02	-3.038e+00	-3.720e+00	-2.916e+00
5.000e+02	-3.639e+00	-3.720e+00	-3.493e+00	8.264e+01	2.345e+01	1.228e+02	-3.038e+00	-3.720e+00	-2.847e+00
6.000e+02	-3.493e+00	-3.709e+00	-1.646e+00	9.402e+01	2.615e+01	2.015e+02	-2.897e+00	-3.720e+00	-2.301e+00
7.000e+02	-2.734e+00	-3.709e+00	-1.639e+00	1.228e+02	9.402e+01	2.236e+02	-2.819e+00	-3.720e+00	-2.240e+00
8.000e+02	-1.646e+00	-3.684e+00	3.324e-01	2.015e+02	9.402e+01	3.014e+02	-2.819e+00	-3.720e+00	-2.240e+00
9.000e+02	-1.646e+00	-3.684e+00	3.324e-01	2.236e+02	1.218e+02	3.014e+02	-2.797e+00	-3.720e+00	-1.835e+00
1.000e+03	-1.646e+00	-3.684e+00	3.324e-01	2.309e+02	1.770e+02	3.014e+02	-2.782e+00	-3.720e+00	-1.768e+00
1.100e+03	-1.646e+00	-3.684e+00	3.324e-01	3.014e+02	2.236e+02	3.571e+02	-2.692e+00	-3.720e+00	-1.768e+00
1.200e+03	-1.646e+00	-3.684e+00	3.324e-01	3.562e+02	2.481e+02	4.603e+02	-2.478e+00	-3.720e+00	-1.768e+00
1.300e+03	-1.646e+00	-3.558e+00	3.324e-01	3.562e+02	2.481e+02	4.603e+02	-2.478e+00	-3.720e+00	-1.768e+00
1.400e+03	-1.646e+00	-3.194e+00	3.324e-01	3.562e+02	2.481e+02	4.603e+02	-2.478e+00	-3.720e+00	-1.761e+00
1.500e+03	-1.646e+00	-3.194e+00	3.324e-01	3.588e+02	3.014e+02	4.603e+02	-2.474e+00	-3.536e+00	-1.761e+00
1.600e+03	-1.646e+00	-3.194e+00	3.324e-01	3.588e+02	3.014e+02	4.603e+02	-2.156e+00	-3.536e+00	1.914e+01
1.700e+03	-1.646e+00	-3.194e+00	3.324e-01	3.591e+02	3.014e+02	4.660e+02	-2.156e+00	-3.471e+00	1.914e+01
1.800e+03	-1.639e+00	-3.194e+00	3.324e-01	3.591e+02	3.014e+02	4.660e+02	-2.156e+00	-3.468e+00	1.914e+01
1.900e+03	-1.639e+00	-3.194e+00	3.324e-01	4.660e+02	3.588e+02	4.762e+02	-2.156e+00	-3.043e+00	1.914e+01
2.000e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	3.588e+02	4.762e+02	-2.156e+00	-2.627e+00	1.914e+01
2.100e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	3.588e+02	4.762e+02	-1.760e+00	-2.627e+00	3.577e+01
2.200e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	4.593e+02	4.762e+02	-1.758e+00	-2.627e+00	4.623e+01
2.300e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	4.593e+02	4.799e+02	-1.758e+00	-2.627e+00	4.623e+01
2.400e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	4.593e+02	4.799e+02	-1.758e+00	-2.627e+00	4.864e+01
2.500e+03	-1.639e+00	-3.018e+00	3.324e-01	4.660e+02	4.593e+02	4.799e+02	-1.741e+00	-2.627e+00	4.864e+01
2.600e+03	-1.376e+00	-3.018e+00	5.977e-01	4.660e+02	4.593e+02	4.799e+02	-1.741e+00	-2.627e+00	4.864e+01
2.700e+03	-1.376e+00	-3.018e+00	5.977e-01	4.660e+02	4.593e+02	4.799e+02	-1.741e+00	-2.627e+00	4.864e+01
2.800e+03	-1.376e+00	-3.018e+00	5.977e-01	4.660e+02	4.593e+02	4.799e+02	7.488e+00	-2.627e+00	4.934e+01
2.900e+03	3.324e-01	-3.018e+00	3.898e+00	4.697e+02	4.659e+02	4.799e+02	7.488e+00	-2.627e+00	5.139e+01
3.000e+03	3.324e-01	-3.018e+00	3.898e+00	4.759e+02	4.660e+02	4.799e+02	7.488e+00	-2.627e+00	5.139e+01
3.100e+03	3.324e-01	-3.018e+00	3.898e+00	4.759e+02	4.660e+02	4.799e+02	7.488e+00	-2.627e+00	5.139e+01
3.200e+03	3.324e-01	-3.018e+00	3.898e+00	4.759e+02	4.660e+02	4.809e+02	7.488e+00	-2.627e+00	5.539e+01
3.300e+03	3.324e-01	-3.018e+00	3.898e+00	4.759e+02	4.660e+02	4.809e+02	7.488e+00	-2.627e+00	5.539e+01
3.400e+03	3.324e-01	-3.018e+00	3.898e+00	4.759e+02	4.660e+02	4.809e+02	2.691e+01	-2.627e+00	5.909e+01
3.500e+03	3.324e-01	-3.018e+00	4.742e+01	4.759e+02	4.660e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
3.600e+03	3.324e-01	-3.008e+00	4.742e+01	4.759e+02	4.660e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
3.700e+03	3.324e-01	-2.734e+00	4.742e+01	4.759e+02	4.660e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
3.800e+03	3.324e-01	-2.734e+00	4.742e+01	4.759e+02	4.660e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
3.900e+03	3.324e-01	-2.734e+00	4.742e+01	4.759e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
4.000e+03	3.324e-01	-2.734e+00	4.742e+01	4.759e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
4.100e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
4.200e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
4.300e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	5.909e+01
4.400e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	6.323e+01
4.500e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	2.691e+01	-2.627e+00	6.323e+01
4.600e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.683e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
4.700e+03	3.324e-01	-2.734e+00	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
4.800e+03	3.324e-01	-2.568e+00	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
4.900e+03	2.866e+00	-1.415e+00	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
5.000e+03	2.866e+00	-8.570e-01	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
5.100e+03	2.866e+00	-8.570e-01	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
5.200e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
5.300e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.926e+02	3.774e+01	-1.858e+00	6.323e+01
5.400e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.970e+02	3.774e+01	-1.858e+00	6.323e+01
5.500e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.970e+02	3.774e+01	-1.858e+00	6.323e+01
5.600e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.970e+02	3.774e+01	-1.858e+00	6.323e+01
5.700e+03	5.354e+00	3.324e-01	4.742e+01	4.762e+02	4.740e+02	4.970e+02	3.774e+01	-1.858e+00	6.323e+01
5.800e+03	3.588e+01	2.751e+00	4.804e+01	4.762e+02	4.740e+02	4.970e+02	3.792e+01	-1.858e+00	6.323e+01
5.900e+03	3.588e+01	2.751e+00	4.804e+01	4.762e+02	4.740e+02	4.970e+02	3.792e+01	-1.858e+00	6.323e+01
6.000e+03	3.588e+01	2.751e+00	4.804e+01	4.762e+02	4.740e+02	4.970e+02	3.792e+01	-1.858e+00	6.323e+01
6.100e+03	3.588e+01	2.751e+00	4.804e+01	4.762e+02	4.740e+02	4.970e+02	5.183e+01	1.759e+01	8.095e+01
6.200e+03	4.742e+01	2.751e+00	5.796e+01	4.859e+02	4.755e+02	4.970e+02	6.214e+01	1.759e+01	8.095e+01
6.300e+03	4.742e+01	2.751e+00	5.796e+01	4.859e+02	4.755e+02	4.970e+02	6.214e+01	1.759e+01	8.095e+01
6.400e+03	4.742e+01	2.751e+00	5.796e+01	4.859e+02	4.755e+02	4.970e+02	6.214e+01	1.759e+01	8.095e+01
6.500e+03	4.742e+01	4.368e+00	5.796e+01	4.859e+02	4.755e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
6.600e+03	4.742e+01	4.368e+00	5.796e+01	4.860e+02	4.759e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
6.700e+03	4.742e+01	5.594e+00	6.917e+01	4.860e+02	4.759e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
6.800e+03	4.742e+01	5.594e+00	6.917e+01	4.860e+02	4.759e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
6.900e+03	5.579e+01	1.685e+01	6.917e+01	4.860e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.000e+03	5.796e+01	1.685e+01	6.917e+01	4.860e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.100e+03	5.796e+01	1.685e+01	6.917e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.200e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.300e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.400e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.500e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.600e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.700e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.800e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
7.900e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
8.000e+03	5.796e+01	1.685e+01	7.973e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
8.100e+03	6.917e+01	1.685e+01	8.254e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
8.200e+03	6.917e+01	1.685e+01	8.254e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
8.300e+03	7.542e+01	1.685e+01	8.254e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	1.759e+01	8.095e+01
8.400e+03	7.542e+01	1.685e+01	8.254e+01	4.884e+02	4.762e+02	5.068e+02	6.214e+01	2.691e+01	8.095e+01
8.500e+03	7.542e+01	1.685e+01	8.254e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	8.095e+01
8.600e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	1.817e+02
8.700e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
8.800e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
8.900e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.000e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.100e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.200e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.776e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.300e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.400e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.500e+03	7.973e+01	1.685e+01	8.726e+01	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.600e+03	8.254e+01	1.685e+01	1.028e+02	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.700e+03	8.254e+01	1.685e+01	1.028e+02	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.800e+03	8.254e+01	1.685e+01	1.028e+02	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
9.900e+03	8.254e+01	1.685e+01	1.028e+02	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.283e+02
1.000e+04	8.254e+01	1.685e+01	1.028e+02	4.884e+02	4.777e+02	5.068e+02	6.214e+01	2.691e+01	2.309e+02
